column,start,length
epa_handler_id,1,12
activity_location,13,2
source_type,15,1
handler_sequence_number,16,6
permit_contact_first_name,22,15
permit_contact_middle_initial,37,1
permit_contact_last_name,38,15
permit_contact_street_number,53,12
permit_contact_street_1,65,30
permit_contact_street_2,95,30
permit_contact_city,125,25
permit_contact_state,150,2
permit_contact_zip_code,152,14
permit_contact_country,166,2
permit_contact_phone,168,15
permit_contact_phone_extension,183,6
permit_contact_email_address,189,80
permit_contact_title,269,45
tsd_date,314,8
