column,start,length
handler_id,1,12
activity_location,13,2
source_type,15,1
sequence_number,16,4
hazardous_waste_page_number,20,5
hazardous_waste_sub_page_number,25,5
br_form,30,2
management_location,32,7
report_cycle,39,4
state,43,2
state_name,45,30
region,75,2
handler_name,77,80
location_street_number,157,12
location_street_1,169,30
location_street_2,199,30
location_city,229,25
location_state,254,2
location_zip,256,14
county_code,270,5
county_name,275,27
state_district,302,10
generator_id_included_in_nbr,312,1
generator_waste_stream_included_in_nbr,313,1
manager_id_included_in_nbr,314,1
manager_waste_stream_included_in_nbr,315,1
shipper_id_included_in_nbr,316,1
shipper_waste_stream_included_in_nbr,317,1
receiver_id_included_in_nbr,318,1
receiver_waste_stream_included_in_nbr,319,1
waste_description,320,240
primary_naics,560,6
source_code,566,3
form_code,569,4
management_method,573,4
federal_waste_flag,577,1
wastewater_characteristic_indicator,578,1
generation_tons,579,19
managed_tons,598,19
shipped_tons,617,19
received_tons,636,19
receiver_id,655,12
receiver_state,667,2
receiver_state_name,669,30
receiver_region,699,2
shipper_id,701,12
shipper_state,713,2
shipper_state_name,715,30
shipper_region,745,2
waste_minimization_code,747,1
waste_code_group,748,9
