column,start,length
handler_id,1,12
gis_owner,13,2
gis_sequence_number,15,4
unit_sequence_number,19,4
area_sequence_number,23,4
area_acreage,27,13
area_source_owner,40,2
area_source_code,42,4
area_source_date,46,8
data_collection_date,54,8
horizontal_acc_measure,62,6
source_map_scale_number,68,10
coordinate_data_owner,78,2
coordinate_data_code,80,3
geographic_reference_point_owner,83,2
geographic_reference_point_code,85,3
geometric_owner,88,2
geometric_code,90,3
horizontal_collection_owner,93,2
horizontal_collection_code,95,3
horizontal_reference_owner,98,2
horizontal_reference_code,100,3
verification_method_owner,103,2
verification_method_code,105,3
