column,start,length
epa_handler_id,1,12
activity_location,13,2
source_type,15,1
handler_sequence_number,16,6
receive_date,22,8
current_site_name,30,80
non_notifier,110,1
acknowledge_flag_date,111,8
acknowledge_flag,119,1
accessibility,120,1
location_street_number,121,12
location_street_1,133,30
location_street_2,163,30
location_city,193,25
location_state,218,2
location_zip_code,220,14
county_code,234,5
state_district,239,10
land_type,249,1
mailing_street_number,250,12
mailing_street_1,262,30
mailing_street_2,292,30
mailing_city,322,25
mailing_state,347,2
mailing_zip_code,349,14
mailing_country,363,2
contact_first_name,365,15
contact_middle_initial,380,1
contact_last_name,381,15
contact_street_number,396,12
contact_street_1,408,30
contact_street_2,438,30
contact_city,468,25
contact_state,493,2
contact_zip,495,14
contact_country,509,2
contact_phone,511,15
contact_phone_extension,526,6
contact_fax,532,15
contact_e_mail_address,547,80
contact_title,627,45
federal_waste_generator_code_owner,672,2
federal_waste_generator_code,674,1
state_waste_generator_code_owner,675,2
state_waste_generator_code,677,1
short_term_generator,678,1
importer_activity,679,1
mixed_waste_generator,680,1
transporter_activity,681,1
transfer_facility,682,1
tsd_activity,683,1
recycler_activity,684,1
onsite_burner_exemption,685,1
furnace_exemption,686,1
underground_injection_activity,687,1
receives_waste_from_off_site,688,1
universal_waste_destination_facility,689,1
used_oil_transporter,690,1
used_oil_transfer_facility,691,1
used_oil_processor,692,1
used_oil_refiner,693,1
used_oil_fuel_burner,694,1
used_oil_fuel_marketer_to_burner,695,1
used_oil_specification_marketer,696,1
under_40_cfr_part_262_subpart_k_as_a_college_or_university,697,1
under_40_cfr_part_262_subpart_k_as_a_teaching_hospital,698,1
under_40_cfr_part_262_subpart_k_as_a_non_profit_research_ins,699,1
withdrawal_from_40_cfr_part_262_subpart_k,700,1
include_in_national_report,701,1
reporting_cycle_year,702,4
cdx_transaction_id,706,20
