column,start,length
epa_handler_id,1,12
activity_location,13,2
source_type,15,1
handler_sequence_number,16,6
owner_operator_sequence_number,22,4
owner_operator_indicator,26,2
owner_operator_name,28,40
owner_operator_type,68,1
date_became_current,69,8
date_ended_current,77,8
owner_operator_street_1,85,30
owner_operator_street_2,115,30
owner_operator_city,145,25
owner_operator_state,170,2
owner_operator_country,172,2
owner_operator_zip_code,174,14
owner_operator_phone,188,15
owner_operator_street_number,203,12
