column,start,length
epa_handler_id,1,12
activity_location,13,2
source_type,15,1
handler_sequence_number,16,6
current_site_name,22,80
non_notifier,102,1
receive_date,103,8
reporting_cycle_year,111,4
accessibility,115,1
region,116,2
state,118,2
extract_flag,120,1
active_site_indicator,121,5
location_street_number,126,12
location_street_1,138,30
location_street_2,168,30
location_city,198,25
location_state,223,2
location_zip_code,225,14
county_code,239,5
county_name,244,27
country_code,271,2
state_district_owner,273,2
state_district,275,10
land_type,285,1
mailing_street_number,286,12
mailing_street_1,298,30
mailing_street_2,328,30
mailing_city,358,25
mailing_state,383,2
mailing_zip_code,385,14
mailing_country,399,2
contact_name,401,33
contact_street_no,434,12
contact_street_1,446,30
contact_street_2,476,30
contact_city,506,25
contact_state,531,2
contact_zip,533,14
contact_country,547,2
contact_phone_number_and_extension,549,22
contact_fax,571,15
contact_email_address,586,80
contact_title,666,45
owner_name,711,40
owner_type,751,1
owner_sequence_number,752,6
operator_name,758,40
operator_type,798,1
operator_sequence_number,799,6
naics_code_1,805,6
naics_code_2,811,6
naics_code_3,817,6
naics_code_4,823,6
in_handler_universes,829,1
in_a_universe,830,1
federal_waste_generator_code_owner,831,2
federal_waste_generator_code,833,1
state_waste_generator_code_owner,834,2
state_waste_generator_code,836,1
generator_status_universe,837,3
short_term_generator,840,1
importer_activity,841,1
mixed_waste_generator,842,1
transporter_activity,843,1
transfer_facility,844,1
recycler_activity,845,1
onsite_burner_exemption,846,1
furnace_exemption,847,1
underground_injection_activity,848,1
receives_waste_from_off_site,849,1
universal_waste,850,1
universal_waste_destination_facility,851,1
used_oil_universe,852,7
federal_universal_waste,859,1
active_site_federally_regulated_tsdf,860,6
active_site_converter_tsdf,866,6
active_site_state_regulated_tsdf,872,9
federal_indicator,881,3
hsm_,884,1
operating_under_40_cfr_part_262_subpart_k,885,4
commercial_tsd,889,1
tsd_type,890,5
gpra_permit_baseline,895,1
gpra_renewals_baseline,896,1
permit_renewal_workload,897,6
permit_workload_universe,903,6
permit_progress_universe,909,6
post_closure_workload_universe,915,6
closure_workload_universe,921,6
gpra_corrective_action_baseline,927,1
corrective_action_workload_universe,928,1
subject_to_corrective_action_universe,929,1
non_tsdfs_where_rcra_corrective_action_has_been_imposed_univ,930,1
tsdfs_potentially_subject_to_corrective_action_under_3004_u_,931,1
tsdfs_only_subject_to_corrective_action_under_discretionary_,932,1
ncaps_ranking,933,1
environmental_control_indicator,934,1
institutional_control_indicator,935,1
human_exposure_indicator,936,1
groundwater_controls_indicator,937,1
operating_tsdf_universe,938,6
full_enforcement_universe,944,6
snc_universe,950,1
unaddressed_snc,951,1
addressed_snc,952,1
snc_with_compliance_schedule,953,1
financial_assurance_required,954,5
handler_date_of_last_change,959,8
