column,start,length
epa_handler_id,1,12
activity_location,13,2
post_closure_workload_land_disposal,15,1
post_closure_workload_incinerator,16,1
post_closure_workload_boilers_and_industrial_furnaces,17,1
post_closure_workload_storage,18,1
post_closure_workload_treatment,19,1
permit_progress_land_disposal,20,1
permit_progress_incinerator,21,1
permit_progress_boilers_and_industrial_furnaces,22,1
permit_progress_storage,23,1
permit_progress_treatment,24,1
closure_workload_land_disposal,25,1
closure_workload_incinerator,26,1
closure_workload_boilers_and_industrial_furnaces,27,1
closure_workload_storage,28,1
closure_workload_treatment,29,1
permit_workload_land_disposal,30,1
permit_workload_incinerator,31,1
permit_workload_boilers_and_industrial_furnaces,32,1
permit_workload_storage,33,1
permit_workload_treatment,34,1
full_enforcement_land_disposal,35,1
full_enforcement_incinerator,36,1
full_enforcement_boilers_and_industrial_furnaces,37,1
full_enforcement_storage,38,1
full_enforcement_treatment,39,1
operating_tsdf_land_disposal,40,1
operating_tsdf_incinerator,41,1
operating_tsdf_boilers_and_industrial_furnaces,42,1
operating_tsdf_storage,43,1
operating_tsdf_treatment,44,1
used_oil_transporter,45,1
used_oil_transfer_facility,46,1
used_oil_processor,47,1
used_oil_refiner,48,1
used_oil_burner,49,1
used_oil_market_burner,50,1
used_oil_specification_marketer,51,1
active_site_handler_activities,52,1
active_sitefederally_regulated_activities,53,1
active_site_corrective_action_workload,54,1
active_site_converter_activities,55,1
active_site_state_activities,56,1
active_site_federally_regulated_land_disposal,57,1
active_site_federally_regulated_incinerator,58,1
active_site_federally_regulated_boilers_and_industrial_furnaces_,59,1
active_site_federally_regulated_storage,60,1
active_site_federally_regulated_treatment,61,1
active_site_state_regulated_land_disposal,62,1
active_site_state_regulated_incinerator,63,1
active_site_state_regulated_boilers_and_industrial_furnaces,64,1
active_site_state_regulated_storage,65,1
active_site_state_regulated_treatment,66,1
active_site_state_regulated_waste_generator,67,1
active_site_state_regulated_universal_waste,68,1
active_site_state_regulated_activity,69,1
active_site_converter_land_disposal,70,1
active_site_converter_incinerator,71,1
active_site_converter_boilers_and_industrial_furnaces,72,1
active_site_converter_storage,73,1
active_site_converter_treatment,74,1
permit_renewal_land_disposal,75,1
permit_renewal_incinerator,76,1
permit_renewal_boilers_and_industrial_furnaces,77,1
permit_renewal_storage,78,1
permit_renewal_treatment,79,1
post_closure_workload_solid_waste_management_unit,80,1
permit_progress_solid_waste_management_unit,81,1
closure_workload_solid_waste_management_unit,82,1
permit_workload_solid_waste_management_unit,83,1
full_enforcement_solid_waste_management_unit,84,1
operating_tsdf_solid_waste_management_unit,85,1
active_site_federally_regulated_solid_waste_management_unit,86,1
active_site_state_regulated_solid_waste_management_unit,87,1
active_site_converter_solid_waste_management_unit,88,1
permit_renewal_solid_waste_management_unit,89,1
