column,start,length
legal_operating_status_code_owner,1,2
legal_operating_status_code,3,4
legal_operating_status_active_status,7,1
legal_operating_status_description,8,100
strange_but_true_flag,108,1
subject_to_inspection,109,1
permit_progress,110,1
permit_workload,111,1
closure_workload,112,1
post_closure_workload,113,1
subject_to_corrective_action,114,1
corrective_action_workload,115,1
full_enforcement,116,1
operating_tsdf,117,1
tsdfs_potentially_subject_to_corrective_action_under_3004_u_,118,1
tsdfs_only_subject_to_corrective_action_under_discretionary_,119,1
non_tsdfs_where_rcra_corrective_action_has_been_imposed,120,1
_gpra_permit_accomplished,121,1
active_site_federally_regulated_tsdf,122,1
active_site_converter_tsdf,123,1
active_site_state_regulated_tsdf,124,1
permit_renewal_workload,125,1
